key;en;nl;FR;de
drawGames.betSlip.navigation.multi;Multi;Multi;Multi;Multi
drawGames.betSlip.navigation.single;Simple;Enkel;Simple;Einzel
drawGames.betSlip.navigation.favorites;Favorite bet slips;Je favoriete spelformulier;Votre bulletin favori;Ihr bevorzugter Spielschein
drawgames.lotto.how-to-play.single;Select 6 numbers per board. You can play a single board if you wish. Each board costs € {0}.;Selecteer 6 nummers per rooster. Je kan al met 1 rooster spelen. Per rooster betaal je € 1,25.;Sélectionnez 6 numéros par grille. Vous pouvez déjà jouer avec une grille. Vous payez 1,25 € par grille.;Wählen Sie 6 Zahlen je Spielfeld aus. Sie können schon mit einem Spielfeld teilnehmen. Jedes Spielfeld kostet 1,25 €.
drawgames.lotto.how-to-play.multi;First indicate the number of picks you want to play per grid, then choose your numbers. You can already play with 1 grid.;Geef eerst het aantal nummers op waarmee je per rooster wil spelen. Kies vervolgens je nummers. Je kan al met 1 rooster spelen.;Indiquez d’abord le nombre de numéros que vous voulez jouer par grille, choisissez ensuite vos numéros. Vous pouvez déjà jouer avec 1 grille.;Bestimmen Sie zuerst für jedes Spielfeld die Anzahl derZahlen, mit denen Sie spielen wollen. Wählen Sie dann Ihre Zahlen. Sie können schon mit einem Spielfeld teilnehmen.
drawGames.receipt.rafflecode.bonusEntry;1 code: {0};1 code: {0};1 code: {0};Ein Code: {0}
drawGames.receipt.rafflecode.bonusEntries;{0} codes from {1} to {2};{0} codes van {1} t.e.m. {2};{0} codes de {1} à {2};{0} Codes von {1} bis {2}
drawGames.lotto.rafflecode.title;LUCKY LOTTO CODE;LUCKY LOTTO CODE;LUCKY LOTTO CODE;LUCKY LOTTO CODE
drawGames.lotto.rafflecode.description;Je LUCKY LOTTO CODE zal automatisch toegevoegd na bevestiging van je aankoop. [EN];Je LUCKY LOTTO CODE wordt automatisch toegevoegd na bevestiging van je aankoop.;Le LUCKY LOTTO CODE est automatiquement ajouté après confirmation de l’achat.;LUCKY LOTTO CODE wird nach Bestätigung des Kaufs automatisch hinzugefügt.
drawGames.lotto.rafflecodes.title;LUCKY LOTTO CODES;LUCKY LOTTO CODES;LUCKY LOTTO CODES;LUCKY LOTTO CODES
drawGames.lotto.rafflecodes.description;Je LUCKY LOTTO CODES zullen automatisch toegevoegd na bevestiging van je aankoop. [EN];Je LUCKY LOTTO CODES worden automatisch toegevoegd na bevestiging van je aankoop.;Les LUCKY LOTTO CODES seront automatiquement ajoutés après confirmation de l’achat.;LUCKY LOTTO CODES werden nach Bestätigung des Kaufs automatisch hinzugefügt
drawGames.extralotto.rafflecode.title;LUCKY LOTTO CODE;LUCKY LOTTO CODE;LUCKY LOTTO CODE;LUCKY LOTTO CODE
drawGames.extralotto.rafflecode.description;Je LUCKY LOTTO CODE zal automatisch toegevoegd na bevestiging van je aankoop. [EN];Je LUCKY LOTTO CODE wordt automatisch toegevoegd na bevestiging van je aankoop.;Le LUCKY LOTTO CODE est automatiquement ajouté après confirmation de l’achat.;Ihr LUCKY LOTTO CODE wird nach Bestätigung der Bestellung automatisch hinzugefügt.
drawGames.extralotto.rafflecodes.title;LUCKY LOTTO CODES;LUCKY LOTTO CODES;LUCKY LOTTO CODES;LUCKY LOTTO CODES
drawGames.extralotto.rafflecodes.description;Je LUCKY LOTTO CODES zullen automatisch toegevoegd na bevestiging van je aankoop. [EN];Je LUCKY LOTTO CODES worden automatisch toegevoegd na bevestiging van je aankoop.;Les LUCKY LOTTO CODES seront automatiquement ajoutés après confirmation de l’achat.;Ihre LUCKY LOTTO CODES werden nach Bestätigung der Bestellung automatisch hinzugefügt
drawGames.euroMillions.rafflecode.title;MY BONUS;MY BONUS;MY BONUS;MY BONUS
drawGames.euroMillions.rafflecode.description;My Bonus code zal automatisch toegevoegd worden na bevestiging van je aankoop. [EN];Je My Bonuscode wordt automatisch toegevoegd na bevestiging van je aankoop.;Le code My Bonus est automatiquement ajouté après confirmation de l’achat.;Ihr My Bonus-Code wird nach Bestätigung der Bestellung automatisch hinzugefügt
drawGames.euroMillions.rafflecodes.title;MY BONUS;MY BONUS;MY BONUS;MY BONUS
drawGames.euroMillions.rafflecodes.description;My Bonus codes zullen automatisch toegevoegd worden na bevestiging van je aankoop.[EN];Je My Bonus-codes worden automatisch toegevoegd na bevestiging van je aankoop.;Le code My Bonus est automatiquement ajouté après confirmation de l’achat.;Ihre My Bonus-Codes werden nach Bestätigung der Bestellung automatisch hinzugefügt.
drawGames.jokerPlusAddon.announcement.info.text;Select a number and choose the zodiac sign of your choice. Each selected combination costs € {0}.;Selecteer een nummer en kies een sterrenbeeld naar keuze. Elke geselecteerde combinatie kost € {0}.;Sélectionnez un numéro et choisissez le signe astrologique de votre choix. Chaque combinaison sélectionnée coûte {0} €.;Wählen Sie eine Zahl und ein Sternzeichen aus. Jede ausgewählte Kombination kostet {0} €.
drawGames.jokerplus.new-number;New number;Nieuw nummer;Nouveau numéro;Neue Zahl
drawGames.boards.rosters.controls.show-less;Less boards;Minder roosters;Moins de grilles;Weniger Spielfelder
drawGames.boards.rosters.controls.show-more;More boards;Meer roosters;Plus de grilles;Mehr Spielfelder
drawGames.boards.rosters.controls.clear-all-rosters;Clear all boards;Maak alle roosters leeg;Vider toutes les grilles;Alle Spielfelder leeren
drawgames.generic.bet;Total;Totaal;Total;Gesamt
drawGames.board.Lotto6.play.single.carousel.info;Select 6 numbers per board or opt for a Quick Pick! The computer will then choose a random combination. You can play a single board if you wish. Each board costs € 1,25. You can play up to 21 boards.;Selecteer 6 nummers per rooster. Of ga voor een Quick Pick! De computer kiest dan 6 willekeurige nummers. Je kan al met één rooster spelen. Een rooster kost € 1,25.  Je kan tot 21 roosters invullen.;Sélectionnez 6 numéros par grille ou optez pour un Quick Pick ! L'ordinateur choisira ensuite 6 numéros au hasard. Vous pouvez jouer avec une seule grille. Une grille coûte 1,25 €.  Vous pouvez remplir jusqu'à 21 grilles.;"Wählen Sie 6 Zahlen je Spielfeld aus. Oder entscheiden Sie sich für einen Quick Pick! Dann wählt der Computer per Zufallsgenerator 6 Zahlen aus. Sie können schon mit einem Spielfeld spielen; ein Spielfeld kostet 1,25 € . Sie können bis zu 21 Spielfelder ausfüllen."
drawGames.board.Lotto6.play.multi.carousel.info;Wil je meer nummers invullen en zo je kansen verhogen? Ga dan voor Multi! In de lijst hierboven kan je kiezen met hoeveel nummers je wil spelen (6, 7, 8, 9 of 10). Selecteer daarna je nummers of ga voor een Quick Pick! De computer kiest dan  willekeurig je nummers. De prijs van een rooster hangt af van het aantal nummers dat je wil spelen. Je kan tot 14 roosters invullen.;Wil je meer nummers invullen en zo je kansen verhogen? Ga dan voor Multi! In de lijst hierboven kan je kiezen met hoeveel nummers je wil spelen (6, 7, 8, 9 of 10). Selecteer daarna je nummers of ga voor een Quick Pick! De computer kiest dan willekeurig je nummers. De prijs van een rooster hangt af van het aantal nummers dat je wil spelen. Je kan tot 14 roosters invullen.;Voulez-vous remplir plus de numéros et augmenter vos chances ? Alors partez sur un Multi ! Dans la liste ci-dessus, vous pouvez choisir le nombre de numéros avec lesquels vous voulez jouer (6, 7, 8, 9 ou 10). Sélectionnez ensuite vos numéros ou optez pour un Quick Pick ! L'ordinateur choisira ensuite vos numéros au hasard. Le prix d'une grille dépend du nombre de numéros que vous souhaitez jouer. Vous pouvez remplir jusqu'à 14 grilles.;Möchten Sie mehr Zahlen eintragen und so Ihre Chancen erhöhen? Dann entscheiden Sie sich für Multi! In der Liste oben können Sie auswählen, mit wie vielen Zahlen Sie spielen möchten (6, 7, 8, 9 oder 10). Wählen Sie dann Ihre Zahlen aus oder spielen Sie einen Quick Pick! Dann wählt der Computer per Zufallsgenerator Ihre Zahlen aus. Der Preis eines Spielfelds hängt von der Anzahl der Zahlen ab, die Sie spielen möchten. Sie können bis zu 14 Spielfelder spielen.
drawGames.board.Lotto6.play.lastWager.carousel.info;Have you already played? The computer saves the last bet slip you placed. That way you can easily replay it.;Speelde je al eerder? De computer slaat je recentste keuze op. Zo kan je makkelijk opnieuw dezelfde nummers spelen.;Vous avez déjà joué ? L'ordinateur enregistre votre choix le plus récent. Vous pouvez donc facilement rejouer les mêmes numéros.;Sie haben schon einmal gespielt? Der Computer speichert Ihre zuletzt ausgewählten Zahlen. So können Sie diese ganz einfach noch einmal spielen.
drawGames.board.Lotto6.play.favorites.carousel.info;As soon as you have placed a bet slip, a purchase confirmation appears. You can save this bet slip by clicking on “Save as favorite”. You can then play it again at any time.;Zodra je een spelformulier indient, verschijnt je aankoopbevestiging. Met de knop 'Bewaar als favoriet' sla je de gekozen nummers op. Zo kan je deze later makkelijk opnieuw spelen.;Dès que vous soumettez un bulletin de jeu, votre confirmation d'achat apparaît. Utilisez le bouton « Enregistrer comme favori » pour sauvegarder les numéros que vous avez choisis. De cette façon, vous pourrez facilement les rejouer plus tard.;Nachdem Sie einen Spielschein gekauft haben, wird Ihnen eine Kaufbestätigung angezeigt. Über den Button 'Als Favorit speichern' können Sie die gewählten Zahlen speichern. So können Sie diese später ganz einfach noch einmal spielen.
drawGames.board.Lotto6.play.fastQuickPick.carousel.info;Quick and easy! Determine the amount you want to play. The computer then selects 6 numbers per board.;Makkelijk en snel! Bepaal het bedrag waarvoor je wil spelen. De computer kiest zelf 6 nummers per rooster.;Facile et rapide ! Déterminez le montant pour lequel vous voulez jouer. L'ordinateur choisit 6 numéros par grille.;Einfach und schnell! Legen Sie den Betrag fest, den Sie ausgeben möchten. Der Computer wählt danach immer 6 Zahlen pro Spielfeld aus.
drawGames.confirm.title;Confirm this bet slip;Bevestig je spelformulier;Confirmez votre bulletin de jeu;Diesen Spielschein bestätigen
drawGames.confirm.your-game-grid;Your {0} board;Je {0} rooster;Votre {0} grille;Ihr {0} Spielfeld
drawGames.confirm.your-game-grids;Your {0} boards;Je {0} roosters;Vos {0} grilles;Ihre {0} Spielfelder 
drawGames.confirm.your-participation;You participate in 1 draw;Je neemt deel aan 1 trekking;Vous participez à 1 tirage;Sie nehmen an einer Ziehung teil
drawGames.confirm.your-participations;You participate in {0} draws;Je neemt deel aan {0} trekkingen;Vous participez à {0} tirages;Sie nehmen an {0} Ziehungen teil
drawgames.generic.next;Continue;Ga verder;Continuer;Weiter
drawgames.generic.jokerplus;Joker+;Joker+;Joker+;Joker+
drawGames.confirm.edit;Modify;Wijzig;Modifier;Ändern
drawGames.confirm.add;Add;Voeg toe;Ajouter;Hinzufügen
drawGames.confirm.not-played;Not played;Niet gespeeld;Non joué;Nicht gespielt
drawgames.receipt.intro-title;Your {0} bet slip;Je {0} spelformulier;Votre {0} bulletin de jeu;Ihr {0} Spielschein
drawGames.receipt.legal;The consumer does not have the right to withdraw from the purchase.;De consument beschikt niet over het recht om van de aankoop  af te zien.;Le consommateur ne dispose pas du droit de renoncer à l'achat.;Der Verbraucher ist nicht berechtigt, vom Kauf zurückzutreten.
drawGames.receipt.termsAndConditions.url;/EN/info/termsAndConditions;/NL/info/termsAndConditions;/FR/info/termsAndConditions;/DE/info/termsAndConditions
drawgames.receipt.thankYou.title;Thank you for playing with us.;Bedankt voor je deelname.;Merci pour votre participation;Vielen Dank für Ihre Teilnahme.
drawgames.receipt.thankYou.text;We wish you good luck.;Veel geluk!;Bonne chance !;Viel Glück!
drawGames.receipt.reference;Reference;Referentie;Référence;Referenz
drawgames.generic.your-grid;Your boards;Je roosters;Vos grilles;Ihre Spielfelder
drawGames.receipt.date;Date;Datum;Date;Datum
drawGames.receipt.draw-count;You are participating in 1 draw;Je neemt deel aan 1 trekking;Vous participez à 1 tirage ;Sie nehmen an einer Ziehung teil
drawGames.receipt.draw-counts;You are participating in {0} draws;Je neemt deel aan {0} trekkingen;Vous participez à {0} tirages;Sie nehmen an {0} Ziehungen teil
drawGames.receipt.play-again;Back to home;Terug naar Home;Retour à l'accueil;Zurück zur Homepage
drawGames.receipt.save-favorite;Save as favorite;Bewaar als favoriet;Enregistrer comme favori;Als Favorit speichern
drawGames.subscription.info.text;You play continuously with this bulletin from the next draw. So you can never forget to play and you do nothing more to do. We put your newsletter automatically for each draw, if you balance and play limits allow. You can cancel this contract at any time in My Account Play.;Vanaf de volgende trekking speel je doorlopend met dit spelformulier. Zo hoef je niets meer te doen en vergeet je nooit meer deel te nemen. Wij zetten je spelformulier automatisch in voor elke trekking, als je saldo en speellimieten dit toelaten. Je kan deze opdracht op elk moment stopzetten in Mijn Speelrekening.;À partir du tirage suivant, vous jouerez en continu avec ce bulletin de jeu. De cette façon, vous ne devez rien faire et vous n'oublierez plus jamais de participer. Nous insérerons automatiquement votre formulaire de jeu pour chaque tirage, si votre solde et vos limites de jeu le permettent. Vous pouvez annuler cette commande dans Mon compte à tout moment.;Ab der nächsten Ziehung spielen Sie mit diesem Spielschein als Dauerteilnehmer. So müssen Sie nichts mehr tun und vergessen auch nie mehr zu spielen. Wir setzen Ihren Spielschein automatisch bei jeder Ziehung ein, wenn Ihr Kontostand und Ihre Spiellimits dies zulassen. Sie können diesen Auftrag jederzeit unter 'Mein Spielkonto' beenden.
drawGames.betSlip.footer.btn-confirm;Confirm;Bevestig;Confirmez;Bestätigen
drawGames.receipt.lotto.yourRaffleCodes;Your LUCKY LOTTO CODES;Je LUCKY LOTTO CODES;Vos LUCKY LOTTO CODES;Ihre LUCKY LOTTO CODES
drawGames.receipt.extralotto.yourRaffleCodes;Your LUCKY LOTTO CODES;Je LUCKY LOTTO CODES;Vos LUCKY LOTTO CODES;Ihre LUCKY LOTTO CODES
drawGames.receipt.euroMillions.yourRaffleCodes;Your MY BONUS CODES;Je MY BONUS codes;Vos codes MY BONUS;Ihre MY BONUS codes
drawgames.addon.thisDate.text;This;Nu;Maintenant;Jetzt
drawgames.addon.toWin.text;to win;te winnen;À gagner;zu gewinnen
drawgames.addon.thisDate.tooltip; Addon thisDate tooltip [EN]; Addon thisDate tooltip [NL]; Addon thisDate tooltip [NL]; Addon thisDate tooltip [DE]
drawgames.addon.yourZodiacSign.text;Your zodiac sign;Je sterrenbeeld;Votre signe astrologique;Ihr Sternzeichen
drawGames.addon.yourZodiacSign.tooltip;To be defined [EN];To be defined [NL];À définir;To be defined [DE]
drawGames.receipt.whatIfYouWin.url;/ENL/info/whatIfYouWin;/NL/info/whatIfYouWin;/FR/info/whatIfYouWin;/DE/info/whatIfYouWin
drawGames.receipt.whatIfYouWin.text;What if you win?;Wat als je wint?;Gagné, que faire ?;Was passiert, wenn Sie gewinnen?
drawGames.navigation.title;How do you want to play?;Hoe wil je spelen?;Comment voulez-vous jouer ?;Wie wollen Sie spielen?
drawGames.draws.playContinuously.option;Continous play;Speel doorlopend;Jouez en continu;Dauerteilnahme
drawGames.draws.playContinuously.instruction;Never miss a {0}-draw by playing continuously;Speel doorlopend en mis geen enkele {0}-trekking;Jouez en continu et ne manquez auncun tirage {0};Spielen Sie per Dauerteilnahme und verpassen Sie keine einzige {0}-Ziehungen
drawGames.betSlip.navigation.fastQuickPick;Fast Quick Pick;Snelle Quick Pick;Quick Pick rapide;Schneller Quick Pick
drawgames.addBoard;Add board;Voeg rooster toe;Ajouter une grille;Spielfeld hinzufügen
drawgames.addon.playNumberOfAddons;Play {0} Joker+;Speel {0} Joker+;Jouez {0} Joker+;Spielen Sie {0} Joker+
drawGames.addon.legalSentence;Your entry is valid for the Joker+ draw of the {0}, day of the {1} draw. If you participate in multiple consecutive draws, your Joker+ draws will remain linked to the {1} draws.;Je deelname is geldig voor de Joker+-trekking van {0}, dag van de {1}-trekking. Als je aan verschillende trekkingen na elkaar deelneemt, blijven je Joker+-trekkingen gelinkt aan de {1}-trekkingen.;Votre participation est valable pour le tirage Joker+ du {0}, jour du tirage du {1}. Si vous participez à différents tirages consécutifs, vos participations au Joker+ resteront liées aux tirages du {1}.;Ihre Teilnahme gilt für die Joker+ Ziehung vom {0}, dem Tag der {1}-Ziehung. Wenn Sie an verschiedenen Ziehungen hintereinander teilnehmen, bleiben Ihre Joker+ Ziehungen mit den {1}-Ziehungen verbunden.
drawGames.confirm.lotto.rafflecode.highlight;Every week 600 players in Belgium can win € 500;Elke week kunnen 600 spelers in België €500 winnen;Chaque semaine 600 joueurs en Belgique gagnent 500 €;Jede Woche können 600 Spieler in Belgien 500 € gewinnen.
drawGames.board.feedback.addedBoard;Board added;Rooster toegevoegd;Grille ajoutée;Spielfeld hinzufügen
drawGames.game-name.Elot;EuroMillions;EuroMillions;EuroMillions;EuroMillions
drawGames.game-name.Keno;Keno;Keno;Keno;Keno
drawGames.game-name.Pick3;Pick3;Pick3;Pick3;Pick3
drawGames.game-name.SuperLotto;Lotto Extra;Extra Lotto;Lotto Extra;Lotto Extra
drawGames.fastQuickPick.subTitle;Choose the amount you want to play for;Kies het bedrag waarvoor je wil spelen.;Choisissez le montant pour lequel vous voulez jouer.;Wählen Sie den Betrag, um den Sie spielen möchten
drawGames.gamePlayMode.playOnline;Play Online;Speel online;Jouez en ligne;Spielen Sie online
drawGames.gamePlayMode.playOnStore;Play in a Store;Speel in een winkel;Jouez en magasin;Spielen Sie im Geschäft
drawGames.draws.playContinuously.playEvery.TUESDAY;Play every Tuesday;Speel iedere dinsdag;Jouez tous les mardis;Spielen Sie jeden Dienstag
drawGames.draws.playContinuously.playEvery.FRIDAY;Play every Friday;Speel iedere vrijdag;Jouez tous les vendredis;Spielen Sie jeden Freitag
drawGames.qrCode.headerInstructions;Show this QR code in a shop to play;Toon deze QR-code in een winkel om te spelen;Montrez ce QR code en magasin pour jouer;Zeigen Sie diesen QR-Code im Geschäft vor, um zu spielen.
drawGames.qrCode.headerInstructions.tooltipText;Once you are in a shop, show this QR code on your phone and allow the shop operator to scan. If you are not in a shop right now, you can save your  combinations as favorite in your account and play them later.;Toon deze QR-code op je telefoon aan de winkelbediende om in te scannen. Ben je nu niet in een winkel? Sla je combinatie op als favoriet in je account en speel ze later.;Montrez ce QR code via votre téléphone à l'employé du magasin pour qu'il le scanne. Vous nêtes pas dans un point de vente en ce moment ? Enregistrez vos combinaisons comme favorites dans votre compte et jouez-les plus tard.;Zeigen Sie dem Verkäufer im Geschäft diesen QR-Code auf Ihrem Handy, damit er ihn einscannen kann. Sie sind gerade nicht in einem Geschäft? Dann speichern Sie Ihre Kombination unter Favoriten in Ihrem Konto ab und spielen Sie die Kombination später.
drawGames.qrCode.headerInstructions.tooltipLink;qrCode headerInstructions tooltipLink [EN];qrCode headerInstructions tooltipLink [NL];qrCode headerInstructions tooltipLink [NL];qrCode headerInstructions tooltipLink [DE]
drawGames.qrCode.addAsFavorite;Add as favorite combination;Voeg toe als favoriete combinatie;Ajouter comme combinaison favorite;Kombination zu Favoriten hinzufügen
drawGames.qrCode.addAsFavorite.instructions;Save this combination as a favorite and keep the QR code within reach at all times;Sla deze combinatie op als favoriet en houd de QR code altijd bij de hand;Enregistrez cette combinaison dans vos favoris et gardez le QR code à portée de main à tout moment.;Speichern Sie die Kombination in den Favoriten und nutzen Sie den QR-Code
drawGames.qrCode.showFormDetails;Show form details;Toon details formulier;Montrer les détails du bulletin de jeu;Formulardetails anzeigen
drawGames.qrCode.costAmount;Cost: € {0};Kost: € {0};Coût : {0} €;Kosten: {0} €
drawGames.betSlip.footer.generate-QR;Generate QR;Genereer QR-code;Générer un QR code;QR-Code generieren
drawGames.qrCode.new;Create a new QR;Genereer een nieuwe QR-code;Générer un nouveau QR code;Neuen QR-Code generieren
drawGames.board.quickPick.amount; +{0}; +{0}; +{0}; +{0}
drawGames.pickSystemSlider.pickValuesTitle.Lotto6;Numbers;Nummers;Numéros;Zahlen
drawGames.pickSystemSlider.priceTitle;Your stake;Je inzet;Votre mise;Ihr Einsatz
drawGames.gamePlayMode.playOnline.description;Play anywhere anytime. It is easy and Safe;Speel altijd en overal. Makkelijk en veilig.;Jouez à tout moment, où que vous soyez. Facile et sûr.;Jederzeit und überall spielen. Einfach und sicher.
drawGames.gamePlayMode.playOnStore.description;Create your virtual betslip onilne. Play your favorite games contactless in a show via a QR Code;Genereer je virtueel spelformulier online. Speel je favoriete spelen contactloos door je QR-code te tonen;Générer un bulletin de jeu virtuel. Jouez à vos jeux préférés sans contact dans votre magasin en montrant votre QR code.;Erstellen Sie online Ihren virtuellen Spielschein. Spielen Sie Ihre Lieblingsspiele kontaktlos, indem Sie den QR-Code vorzeigen.
drawGames.gamePlayMode.playNow;Play now;Speel nu;Jouez maintenant;Jetzt spielen
drawgames.generic.moreInfo;More info;Meer info;Plus d'info;Weitere Informationen
drawGames.gamePlayMode.panelTitle;How would you like to play?;Hoe wil je spelen?;Comment voulez-vous jouer ?;Wie wollen Sie spielen?
drawGames.confirm.subscription.create.your-participation.title;You play continuously;Je speelt doorlopend;Vous jouez en continu;Sie spielen per Dauerteilnahme
drawGames.payoutTable.show-payout-table;View the pricetable;Bekijk het lotenplan;Regardez le plan des lots;Gewinnverteilung anzeigen
drawGames.payoutTable.title;View the pricetables;Bekijk de lotenplannen;Regardez les plans des lots;Gewinnverteilungen anzeigen
drawGames.payoutTable.instructions;Here’s the lotenplan if you play 10 numbers and bet € 1,00:;Dit is het lotenplan als je 10 nummers speelt met € 1,00 inzet: ;Voici le plan des lots si vous jouez 10 numéros avec une mise de 1 € : ;Hier die Gewinnverteilung, wenn Sie 10 Zahlen bei einem Einsatz von 1,00 € spielen:
drawGames.payoutTable.winningChance;Odds;Winstkans;Chance de gain;Gewinnchance
drawGames.payoutTable.numberOfCorrectNumbers;amount of correct numbers;Aantal juiste nummers ;Nombre de numéros corrects;Anzahl richtiger Zahlen
fdGames.payoutTable.totalOdds;Global winning chance: 1/{0};Algemene winstkans: 1/{0};Chance de gain gloable : 1/{0};Allgemeine Gewinnchance: 1/{0}
fdGames.payoutTable.text;The more the stake, the higher the possible win;Hoe meer je inzet, hoe meer je kan winnen;Plus vous misez, plus vous pouvez gagner;Je mehr Sie pro Spielfeld setzen, desto mehr können Sie gewinnen.
drawGames.payoutTable.quickPick10NumbersBet1;Quick Pick {0} numbers, stake € {1} ;Quick Pick {0} nummers, inzet € {1};Quick Pick numéro {0}, mise {1} €;Quick Pick {0} Zahlen, Einsatz {1} € 
drawGames.payoutTable.winAmount;Win;Win;Gagner;Gewinn
drawGames.payoutTable.valueStepper.betPerRow;bet per row;Inzet per rij;Mise par ligne;Einsatz pro Reihe
drawGames.payoutTable.valueStepper.numberOfNumbers;amount of numbers;Aantal nummers;Nombre de numéros;Anzahl der Zahlen
drawGames.gamePlay.selectPlayType;Choose your play type(s)?;Kies je speltype(s);Choisissez votre/vos type(s) de jeu;Spiel Typ(en) auswählen
drawGames.order.inOrder;In order;In volgorde;Dans l'ordre;Der Reihe nach
drawGames.order.inRandomOrder;Out of order;In willekeurige volgorde;Dans un ordre aléatoire;In beliebiger Reihenfolge
drawGames.order.firstTwoInOrder;First two;Eerste 2;Deux premiers;Die ersten 2
drawGames.order.lastTwoInOrder;Last two;Laatste 2;Deux derniers;Die letzten 2
drawGames.qrCode.headerInstructionsdrawGames.qrCode.headerInstructions;Show this QR code in a shop to play;Toon deze QR-code in een winkel om te spelen  ;Montrer ce QR code en magasin pour jouer;Um zu spielen, zeigen Sie diesen QR-Code im Geschäft vor
drawGames.qrCode.bottomEndInstructions;Let op: A QR code is not a ticket and it does not prove participation. It is a digital bulletin. You can purchase a ticket in a shop using this digital bulletin. After purchasing a ticket, you should keep your ticket safe, to be able to claim your wins.;Let op: een QR-code is geen spelformulier en bewijst geen deelname. Het is een digitaal spelformulier. In een winkel kan je met dit digitaal spelformulier een ticket kopen. Houd na aankoop je ticket goed bij om je winst te kunnen innen.;Veuillez noter qu'un QR code n'est pas un bulletin de jeu et ne prouve pas votre participation. Il s'agit d'une formulaire de jeu numérique. Dans un magasin, vous pouvez acheter un bulletin avec ce formulaire de jeu numérique. Après l'achat, conservez votre ticket afin d'encaisser vos gains.;Achtung: ein QR-Code ist kein Spielschein und kein Beweis für eine Teilnahme. Es handelt sich um einen digitalen Spielschein. Im Geschäft können Sie mit diesem digitalen Spielschein ein Ticket kaufen. Heben Sie Ihr Ticket nach dem Kauf gut auf, um es gegen Ihren Gewinn einlösen zu können.
drawGames.gamePlayMode.playOnStore.mainTitle;Create a QR code to play in a shop;Genereer een QR-code om in een winkel te spelen;Générer un QR code pour jouer en magasin;Generieren Sie einen QR-Code, um im Geschäft zu spielen
drawGames.gamePlayMode.playOnStore.subTitle;That became easier: ;Dit werd eenvoudiger:;C'est devenu plus facile :;Das geht jetzt einfacher:
drawGames.gamePlayMode.playOnStore.subTitleLinkText;Fill in the form and get it scanned in a shop;Vul het formulier in en laat het scannen in een winkel;Compléter le formulaire et scannez-le en magasin;Füllen Sie das Formular aus und lassen Sie es im Geschäft einscannen.
drawGames.gamePlayMode.playOnStore.subTitleLinkUrl;link to store [EN];link naar winkel;lien vers le magasin;Link zum Geschäft
drawGames.draws.playContinuously.selectAtLeastOneOption;Select at least one option;Selecteer minstens 1 optie;Sélectionner au moins une option;Wählen Sie mindestens eine Option aus
drawGames.favorite.subtitle;[EN] Lorem ipsum (TODO);[NL] Lorem ipsum (TODO);[FR] Lorem ipsum (TODO);[DE] Lorem ipsum (TODO)
drawGames.goTo.accountPage;[EN] Ga naar “Mijn account” om je favorieten aan te passen (TODO);Ga naar 'Mijn account' om je favorieten aan te passen;Allez dans « Mon compte » pour changer vos favoris;Gehen Sie zu 'Mein Konto', um Ihre Favoriten anzupassen (TODO)
drawGames.favorites.play;Play;Speel;Jouer;Spiel
fdGames.Flash5.numberOfDraws;Number of draws?;Aantal trekkingen?;Nombre de tirages ?;Anzahl der Ziehungen?
fdGames.receipt.participateMultiDraw;You participate in {0} consecutive draws;Je neemt deel aan {0} trekkingen na elkaar;Vous participez à {0} tirages consécutifs;"Sie nehmen an {0} aufeinanderfolgenden Ziehungen teil"""
drawGames.board.euroMillions.play.single.carousel.info;Select 5 numbers and 2 stars or opt for a Quick Pick! The computer will then choose a random combination. You can play a single board if you wish. Each board costs € 2,50.;"Selecteer zelf 5 nummers en 2 sterren. Of ga voor een Quick Pick! Dan kiest de computer willekeurig een combinatie. Je kan al met één rooster spelen; een rooster kost € 2,50.";Sélectionnez 5 numéros et 2 étoiles ou optez pour un Quick Pick ! Vous pouvez déjà jouer avec une grille. Vous payez 2,50 € par grille.;"Wählen Sie selbst 5 Zahlen und 2 Sterne aus. Oder entscheiden Sie sich für einen Quick Pick! Dann wählt der Computer per Zufallsgenerator eine Kombination aus. Sie können schon mit einem Spielfeld spielen; ein Spielfeld kostet 2,50 €."
